year,month,total_trips,total_fare_amt,total_dist_amt,avg_fare,avg_distance,date,year_cat
2019,10,7127818,140470161.9504618,21732992.59000037,19.707316032825446,3.0490386525021216,2019-10,2019
2019,9,6482326,128549381.37018183,20247578.450000238,19.830749235719065,3.123505119921497,2019-09,2019
2019,8,5990657,117006848.6700927,19181013.13000033,19.53155533192648,3.201821291053774,2019-08,2019
2019,7,6230998,121688308.15004593,19606322.480000068,19.529505249407226,3.146578201437405,2019-07,2019
2019,6,6895961,136084819.43056607,21618230.650000237,19.733989132271205,3.1349119651344077,2019-06,2019
2019,4,7414541,143269591.92040586,22712360.810000308,19.32278638966402,3.0632187225076115,2019-04,2019
2019,3,7802223,149093273.56053832,23768145.86000025,19.109076164644144,3.046329983134326,2019-03,2019
2019,2,6991072,129829838.37047583,20553885.24999998,18.570805503143987,2.940019105796648,2019-02,2019
2019,1,7635382,118932821.03012413,21773160.93000016,15.57653841420431,2.8516138328115295,2019-01,2019
2019,5,7530386,147732212.2804522,23267921.180000447,19.618146039320187,3.089870981381359,2019-05,2019
2020,8,974998,17920585.06000817,3077933.0399999903,18.380124943854415,3.1568608756120424,2020-08,2020
2020,11,1483172,25878963.680000134,4122155.7200000104,17.44839012602728,2.7792836704037094,2020-11,2020
2020,10,1650144,28931843.489981454,4573217.120000009,17.532920454203666,2.771404871332447,2020-10,2020
2020,9,1312674,23207935.530009754,3782192.400000009,17.679892745654865,2.88128842347758,2020-09,2020
2020,7,772184,14349277.790007515,2504901.190000004,18.582718354702397,3.243917498938082,2020-07,2020
2020,12,1437374,25051801.20999496,3963335.0699999933,17.4288676503088,2.7573443446173322,2020-12,2020
2020,5,336845,6214110.700001713,1284763.2599999977,18.447982603279588,3.8141081506330736,2020-05,2020
2020,4,230566,3786910.0899994806,713688.0099999983,16.424408152110374,3.095374036067756,2020-04,2020
2020,3,2965661,54197126.76987593,8653690.96000002,18.27488939898253,2.9179636377859843,2020-03,2020
